,date,close,open,high,low,volume
741,2021-10-27,302549.0,304583.0,304902.0,301900.0,607875.0
742,2021-10-28,300955.0,302317.0,303442.0,300955.0,617256.0
743,2021-10-29,297068.0,302567.0,303017.0,296540.0,545833.0
744,2021-11-01,297894.0,298418.0,299181.0,297687.0,475382.0
745,2021-11-02,301349.0,299558.0,303430.0,299558.0,525853.0
746,2021-11-03,297571.0,302036.0,302087.0,296901.0,658648.0
747,2021-11-04,298322.0,300092.0,301156.0,297807.0,772023.0
748,2021-11-05,296927.0,300353.0,300353.0,295396.0,688027.0
749,2021-11-08,296020.0,296536.0,296818.0,293090.0,560205.0
750,2021-11-09,296246.0,295815.0,298728.0,294917.0,708773.0
751,2021-11-10,293017.0,294746.0,295861.0,292436.0,570931.0
752,2021-11-11,292492.0,291141.0,292519.0,290372.0,572859.0
753,2021-11-12,296880.0,294595.0,297384.0,293827.0,665733.0
754,2021-11-15,299952.0,298968.0,300371.0,297996.0,639395.0
755,2021-11-16,299721.0,299568.0,301188.0,298534.0,579646.0
756,2021-11-17,296242.0,300402.0,300467.0,295770.0,541489.0
757,2021-11-18,294738.0,295926.0,296448.0,293753.0,541652.0
758,2021-11-19,297102.0,295106.0,297464.0,294807.0,657093.0
759,2021-11-22,301325.0,298338.0,301801.0,298073.0,530959.0
760,2021-11-23,299733.0,301316.0,301636.0,299214.0,524233.0
761,2021-11-24,299429.0,300634.0,301790.0,298102.0,556640.0
762,2021-11-25,298027.0,299674.0,299674.0,297324.0,595969.0
763,2021-11-26,293644.0,297304.0,298577.0,293031.0,595597.0
764,2021-11-29,290932.0,290615.0,293022.0,289078.0,844400.0
765,2021-11-30,283901.0,293271.0,294293.0,282273.0,983556.0
766,2021-12-01,289972.0,286012.0,290574.0,283703.0,563927.0
767,2021-12-02,294527.0,287464.0,294527.0,287464.0,534461.0
768,2021-12-03,296833.0,293593.0,297544.0,292755.0,486749.0
769,2021-12-06,297325.0,295482.0,298350.0,293249.0,479907.0
770,2021-12-07,299172.0,297384.0,299231.0,296090.0,541370.0
771,2021-12-08,300180.0,301793.0,303613.0,299534.0,488246.0
772,2021-12-09,302957.0,300700.0,302957.0,300155.0,513445.0
773,2021-12-10,301023.0,300870.0,301764.0,299829.0,451599.0
774,2021-12-13,300166.0,301967.0,304383.0,300051.0,375828.0
775,2021-12-14,298795.0,298395.0,300170.0,297616.0,581569.0
776,2021-12-15,298939.0,297983.0,299230.0,297300.0,432874.0
777,2021-12-16,300641.0,301326.0,301820.0,298963.0,402825.0
778,2021-12-17,301773.0,298520.0,301773.0,298419.0,451824.0
779,2021-12-20,296300.0,300133.0,300133.0,296207.0,377584.0
780,2021-12-21,297503.0,298167.0,298456.0,295590.0,410979.0
781,2021-12-22,298448.0,299350.0,300079.0,297665.0,461755.0
782,2021-12-23,299817.0,299802.0,300070.0,298091.0,483838.0
783,2021-12-24,301243.0,300948.0,302577.0,300948.0,537548.0
784,2021-12-27,299955.0,301394.0,301731.0,299930.0,475363.0
785,2021-12-28,302024.0,300677.0,302029.0,299155.0,607046.0
786,2021-12-29,299329.0,300290.0,300772.0,298867.0,545831.0
787,2021-12-30,297765.0,299975.0,300536.0,297574.0,461038.0
788,2022-01-03,298877.0,299832.0,301077.0,297942.0,435825.0
789,2022-01-04,298924.0,299197.0,299525.0,297308.0,621549.0
790,2022-01-05,295397.0,298405.0,298620.0,293673.0,787346.0
791,2022-01-06,292053.0,292540.0,295254.0,291538.0,786045.0
792,2022-01-07,295489.0,293378.0,295903.0,293310.0,546172.0
793,2022-01-10,292672.0,294737.0,295112.0,291090.0,477399.0
794,2022-01-11,292738.0,293093.0,294357.0,290982.0,566171.0
795,2022-01-12,297248.0,295078.0,297258.0,295031.0,519500.0
796,2022-01-13,296209.0,297991.0,298214.0,295839.0,604870.0
797,2022-01-14,292192.0,293761.0,294497.0,291473.0,532668.0
798,2022-01-17,289010.0,291855.0,291967.0,287598.0,593260.0
799,2022-01-18,286424.0,289898.0,290279.0,285726.0,554040.0
800,2022-01-19,284228.0,284034.0,287179.0,283218.0,463829.0
